Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-zw.fhir.ig.lab.json	13173	-	0	0	0	0	0	0	9	60	0	0	0	0	0	0	0	0	0	0	86	68	0	0	0	7	0	0
fsh-generated/resources/CodeSystem-zw-lab-tests.json	1837	2	0	0	2	0	1	0	1	6	0	0	0	0	0	0	0	0	0	0	12	55	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-zw-laboratories.json	1704	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	49	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-zw-reason-for-test.json	3607	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	17	55	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-zw-rejection-reasons.json	1969	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	11	42	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-zw-report-review-state.json	1095	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	35	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-zw-sample-types.json	2497	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	10	40	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-zw-task-input-type.json	937	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	30	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-zw-task-output-type.json	588	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	27	0	0	0	1	0	0
fsh-generated/resources/DiagnosticReport-example-zw-vl-diagnostic-report.json	1643	1	0	0	0	0	0	0	0	1535	0	0	0	0	0	0	0	0	0	0	75	12	0	0	0	0	0	0
fsh-generated/resources/Location-example-order-facility.json	237	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0
fsh-generated/resources/Observation-example-zw-vl-observation.json	1253	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/Organization-example-national-virology-lab.json	606	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/Patient-example-zw-lab-patient.json	921	1	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example-zw-service-request-vl.json	961	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/Specimen-example-zw-specimen-plasma.json	690	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-citizenship.json	2748	1	0	43	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	82	458	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-date-of-birth-estimated.json	1549	1	0	11	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	28	81	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-report-review-state.json	1790	1	0	13	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	36	66	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-zw-facility.json	750	1	0	63	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	78	140	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-zw-lab-diagnostic-report.json	5135	2	0	39	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	123	198	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-zw-lab-order.json	8113	2	0	14	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	68	80	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-zw-lab-patient.json	3660	2	0	65	0	0	0	0	0	62	0	0	0	0	0	0	0	2	0	0	288	459	0	0	0	19	0	1
fsh-generated/resources/StructureDefinition-zw-lab-result-observation.json	3675	2	0	53	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	198	1572	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-zw-lab-result-report.json	5274	1	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	47	60	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-zw-lab-service-request.json	2925	2	0	21	1	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	99	150	0	0	0	5	1	1
fsh-generated/resources/StructureDefinition-zw-lab-task.json	7832	3	0	58	0	0	0	0	0	47	0	0	0	0	0	0	0	2	0	0	310	423	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-zw-laboratory.json	2045	1	0	39	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	80	159	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-zw-specimen.json	3269	1	0	24	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	120	192	0	0	0	6	0	0
fsh-generated/resources/Task-example-zw-lab-task-order.json	1611	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	31	0	0	0	0	0	0
fsh-generated/resources/ValueSet-zw-lab-tests.json	450	1	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	4	70	0	0	0	1	0	1
fsh-generated/resources/ValueSet-zw-laboratories.json	458	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	56	0	0	0	4	0	0
fsh-generated/resources/ValueSet-zw-reason-for-test.json	480	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	27	0	0	0	0	0	0
fsh-generated/resources/ValueSet-zw-rejection-reasons.json	478	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	23	0	0	0	0	0	0
fsh-generated/resources/ValueSet-zw-report-review-state.json	496	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	22	0	0	0	1	0	0
fsh-generated/resources/ValueSet-zw-sample-types.json	458	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	20	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1552	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	2141	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/features.yaml	84	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/about.md	599	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/downloads.md	264	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	2626	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	17625	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
